,出港航班号FLT,出港停机位,出港机型TYS,出港是否流控管制,起飞跑道,推出时间窗,排队长度,同时段离港,同时段进港,推出滑行时间
0,9C9801,81,5,0,1,3,0,0,0,480
1,9C8917,100,1,0,0,13,0,0,0,600
2,FM9279,44,15,0,1,13,0,3,0,474
3,MU5459,29,5,0,1,13,1,2,0,540
4,9C8909,98,5,1,0,13,0,4,0,780
5,HO1131,22,1,1,1,14,1,5,0,619
6,9C8821,119,5,1,0,14,1,8,0,960
7,MU5633,12,5,0,1,14,1,7,0,720
8,MU555Q,64,1,0,1,14,2,7,0,660
9,FM9463,55,15,1,1,14,3,6,0,563
10,9C8635,9,5,1,0,14,1,6,0,600
11,FM9535,18,12,1,1,14,4,9,0,780
12,FM9073,47,15,1,1,14,5,8,0,641
13,9C8819,82,1,0,0,14,1,8,0,660
14,FM9537,120,15,0,0,14,2,7,0,660
15,HO1085,28,5,0,1,14,4,11,0,1059
16,FM9227,15,15,0,1,14,3,6,0,780
17,FM9205,57,15,1,1,14,4,7,0,854
18,MU5137,46,9,1,1,14,5,6,0,809
19,FM9231,60,14,1,1,14,5,6,0,911
20,9C8835,10,5,0,0,14,3,6,0,1020
21,9C8845,99,1,0,0,14,2,8,0,1200
22,9C8957,84,1,1,0,14,4,7,0,1140
23,MU2510,52,15,0,1,15,3,3,0,540
24,MU5571,54,15,1,1,15,5,8,0,1146
25,HO1123,26,6,0,1,15,3,6,0,889
26,9C8815,11,5,1,0,15,3,7,0,1140
27,MU5389,58,6,0,1,15,4,6,0,907
28,MF8518,24,15,1,1,15,4,2,0,488
29,MU5395,73,15,0,1,15,4,5,0,900
30,9C8953,83,5,1,0,15,2,6,0,1080
31,9C8897,96,5,0,0,15,2,5,0,1020
32,FM9307,2,9,0,0,15,2,2,0,618
33,HO1111,39,21,0,1,15,3,5,0,879
34,FM9213,48,15,1,1,16,2,3,0,667
35,9C8903,80,1,1,0,16,2,3,0,720
36,FM9245,102,15,0,1,16,3,2,0,540
37,HO1217,30,6,0,1,16,2,4,0,685
38,FM9263,61,15,1,1,16,2,6,0,705
39,MU5401,13,8,0,1,16,3,5,1,660
40,MU5814,36,15,1,1,16,3,7,1,874
41,FM9421,63,6,0,1,16,3,6,1,780
42,CA1858,43,21,1,1,16,4,6,1,809
43,FM9415,33,13,0,1,16,6,5,1,775
44,MU9720,49,14,1,1,16,5,8,1,970
45,MU511,6,9,0,1,16,6,6,0,900
46,FM9331,56,15,1,1,16,6,8,0,819
47,HO1119,37,21,0,1,17,6,7,0,816
48,MU5363,35,5,1,1,17,6,7,0,925
49,FM9147,23,15,1,1,17,6,6,1,605
50,CZ3590,59,2,1,1,17,6,8,1,1003
51,MU5101,41,10,1,1,17,7,8,1,789
52,MU2152,50,6,0,1,17,8,5,3,877
53,MU721,7,2,1,1,17,7,5,4,1013
54,MU2285,115,2,1,1,17,6,5,4,1200
55,FM9453,66,14,1,1,17,7,5,5,1320
56,FM9217,1,15,1,1,17,7,5,5,1178
57,HU7604,34,15,1,1,17,7,4,5,1109
58,FM9301,51,15,1,1,17,8,2,6,1160
59,FM815,4,21,0,1,18,5,1,4,622
61,MU5151,40,9,1,1,18,5,2,6,828
62,FM9513,27,15,1,1,18,2,2,2,408
63,MU5203,70,1,1,1,18,2,2,1,660
64,CA1590,38,8,1,1,18,1,5,2,841
65,MU5333,111,1,1,1,18,3,3,1,720
66,FM9163,25,15,1,1,18,3,4,1,780
67,MU5529,105,1,1,1,19,3,1,1,360
68,9C8847,97,1,1,1,19,4,4,3,780
69,FM9451,16,15,1,1,19,3,6,3,1080
70,MU5691,103,2,1,1,19,3,5,2,660
71,MU5663,71,5,1,1,19,4,4,2,660
72,FM9127,14,15,0,1,19,2,5,3,900
73,9C8887,76,5,0,1,19,5,4,2,780
74,FM9269,131,15,1,1,19,5,3,1,780
75,FM9201,75,13,0,1,19,6,4,1,900
76,MU5405,19,15,0,1,19,4,5,3,1140
